,type,primary_title,original_title,premiered,runtime_minutes,genres,rating,votes
115,movie,The Student of Prague,Der Student von Prag,1913.0,85.0,"Drama,Fantasy,Horror",6.4,2123
143,movie,The Avenging Conscience: or 'Thou Shalt Not Kill',The Avenging Conscience: or 'Thou Shalt Not Kill',1914.0,78.0,"Crime,Drama,Horror",6.4,1291
178,movie,The Ghost Breaker,The Ghost Breaker,1914.0,60.0,"Adventure,Horror",5.2,37
180,movie,The Golem,Der Golem,1914.0,60.0,Horror,6.7,1173
185,movie,The Hound of the Baskervilles (1914),Der Hund von Baskerville,1914.0,65.0,"Crime,Horror,Mystery",5.6,112
234,movie,Ein seltsamer Fall,Ein seltsamer Fall,1914.0,50.0,Horror,4.8,14
305,movie,The Hound of the Baskervilles,Das dunkle Schloß,1915.0,50.0,"Crime,Horror,Mystery",3.1,41
324,movie,"Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer","Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer",1916.0,,"Crime,Horror,Mystery",3.8,36
325,movie,"Der Hund von Baskerville, 4. Teil","Der Hund von Baskerville, 4. Teil",1916.0,,"Crime,Horror,Mystery",3.3,36
327,movie,Blind Justice,Hævnens Nat,1916.0,100.0,"Crime,Drama,Horror",6.7,354
343,movie,Life Without Soul,Life Without Soul,1915.0,70.0,"Drama,Horror,Sci-Fi",6.6,54
357,movie,Mortmain,Mortmain,1915.0,50.0,"Drama,Horror",5.8,24
377,movie,Satan's Rhapsody,Rapsodia satanica,1917.0,55.0,"Drama,Fantasy,Horror",6.8,732
405,movie,Zhenshchina vampir,Zhenshchina vampir,1915.0,,Horror,7.2,37
435,movie,Black Orchids,Black Orchids,1917.0,50.0,"Drama,Horror",4.8,20
449,movie,The Crimson Stain Mystery,The Crimson Stain Mystery,1916.0,,"Horror,Mystery",6.9,20
490,movie,"Homunculus, 1. Teil","Homunculus, 1. Teil",1916.0,69.0,"Horror,Sci-Fi",6.0,98
526,movie,The Mysteries of Myra,The Mysteries of Myra,1916.0,,"Drama,Fantasy,Horror",6.6,29
528,movie,A Night of Horror,Nächte des Grauens,1917.0,56.0,"Drama,Horror",6.1,21
538,movie,The Queen of Spades,Pikovaya dama,1916.0,63.0,"Drama,Fantasy,Horror",6.6,744
616,movie,The Devil's Assistant,The Devil's Assistant,1917.0,23.0,Horror,6.6,29
629,movie,Furcht,Furcht,1917.0,72.0,Horror,6.2,176
649,movie,Hilde Warren und der Tod,Hilde Warren und der Tod,1917.0,80.0,Horror,5.8,126
671,movie,Malombra,Malombra,1917.0,75.0,"Drama,Horror,Mystery",6.0,119
767,movie,Sacrifice,"Alraune, die Henkerstochter, genannt die rote Hanne",1918.0,88.0,"Horror,Sci-Fi",5.8,26
768,movie,Alraune,Alraune,1919.0,80.0,"Horror,Sci-Fi",5.5,52
773,movie,The Eyes of the Mummy,Die Augen der Mumie Ma,1918.0,63.0,"Drama,Horror",5.4,659
792,movie,The Craving,The Craving,1918.0,50.0,"Drama,Horror",4.9,89
1012,movie,The Haunted Bedroom,The Haunted Bedroom,1919.0,50.0,"Drama,Horror",7.0,31
1030,movie,J'accuse!,J'accuse,1919.0,166.0,"Drama,Horror,War",7.7,1778
1035,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,1920.0,76.0,"Horror,Mystery,Thriller",8.0,63361
1041,movie,Lightning Bryce,Lightning Bryce,1919.0,300.0,"Adventure,Horror,Romance",6.0,62
1068,movie,Nachtgestalten,Nachtgestalten,1920.0,106.0,Horror,6.4,18
1078,movie,Die Pest in Florenz,Die Pest in Florenz,1919.0,92.0,"Drama,History,Horror",6.4,195
1117,movie,The Dance of Death,Der Totentanz,1919.0,84.0,Horror,7.0,21
1121,movie,Eerie Tales,Unheimliche Geschichten,1919.0,112.0,"Fantasy,Horror,Mystery",6.5,566
1148,movie,Anita,Anita,1920.0,,Horror,3.3,14
1165,movie,The Hunchback and the Dancer,Der Bucklige und die Tänzerin,1920.0,50.0,Horror,6.2,77
1179,movie,The Dark Mirror,The Dark Mirror,1920.0,50.0,"Drama,Horror",5.6,29
1181,movie,Desire,Desire,1920.0,,"Fantasy,Horror",3.8,11
1190,movie,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,1920.0,69.0,"Drama,Horror,Sci-Fi",6.9,5437
1192,movie,The Dream Cheater,The Dream Cheater,1920.0,50.0,Horror,4.2,18
1214,movie,Genuine: The Tragedy of a Vampire,Genuine,1920.0,88.0,Horror,5.9,1033
1219,movie,Go and Get It,Go and Get It,1920.0,70.0,"Comedy,Drama,Horror",4.0,32
1220,movie,The Golem,"Der Golem, wie er in die Welt kam",1920.0,76.0,"Fantasy,Horror",7.2,7703
1224,movie,The Great London Mystery,The Great London Mystery,1920.0,,"Crime,Horror,Mystery",4.1,16
1242,movie,The Hound of the Baskervilles,The Hound of the Baskervilles,1921.0,,"Crime,Horror,Mystery",4.0,42
1245,movie,Der Hund von Baskerville - 6. Teil: Das Haus ohne Fenster,Der Hund von Baskerville - 6. Teil: Das Haus ohne Fenster,1920.0,157.0,"Horror,Mystery",3.5,31
1252,movie,The Head of Janus,Der Januskopf,1920.0,107.0,Horror,7.2,148
1296,movie,The Penalty,The Penalty,1920.0,90.0,"Crime,Drama,Horror",7.4,2400
1307,movie,The Parson's Widow,Prästänkan,1920.0,94.0,"Comedy,Drama,Horror",7.1,1345
1323,movie,Satanas,Satanas,1919.0,60.0,"Drama,Horror,Mystery",6.9,87
1480,movie,The Phantom Carriage,Körkarlen,1921.0,107.0,"Drama,Fantasy,Horror",8.0,12432
1511,movie,Destiny,Der müde Tod,1921.0,97.0,"Drama,Fantasy,Horror",7.6,6084
1540,movie,The Haunted Castle,Schloß Vogelöd,1921.0,75.0,"Crime,Drama,Horror",6.1,1872
1611,movie,A Blind Bargain,A Blind Bargain,1922.0,57.0,"Drama,Horror,Mystery",6.2,58
1657,movie,The Ghost Breaker,The Ghost Breaker,1922.0,57.0,"Comedy,Horror",6.0,25
1663,movie,The Headless Horseman,The Headless Horseman,1922.0,75.0,"Comedy,Drama,Horror",4.9,303
1674,movie,Häxan,Häxan,1922.0,91.0,"Documentary,Fantasy,Horror",7.6,14341
1719,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",1922.0,94.0,"Fantasy,Horror",7.9,96481
1724,movie,One Exciting Night,One Exciting Night,1922.0,128.0,"Comedy,Horror,Mystery",5.4,152
1751,movie,Warning Shadows,Schatten - Eine nächtliche Halluzination,1923.0,90.0,"Drama,Fantasy,Horror",6.7,1015
1897,movie,The Last Moment,The Last Moment,1923.0,60.0,Horror,5.1,19
1975,movie,Der steinerne Reiter,Der steinerne Reiter,1923.0,86.0,"Drama,Fantasy,Horror",6.7,88
1996,movie,Waxworks,Das Wachsfigurenkabinett,1924.0,107.0,"Fantasy,Horror",6.6,2084
1999,movie,While Paris Sleeps,While Paris Sleeps,1923.0,60.0,Horror,7.0,42
2054,movie,Dante's Inferno,Dante's Inferno,1924.0,60.0,"Drama,Horror,Romance",5.6,168
2152,movie,The Hands of Orlac,Orlacs Hände,1924.0,92.0,"Crime,Horror,Mystery",7.0,2946
2308,movie,The case of the murder of Tariel Mklavadze,Tariel mklavadzis mkvlelobis saqme,1925.0,70.0,"Crime,Drama,Horror",5.4,24
2405,movie,The Monster,The Monster,1925.0,86.0,"Comedy,Horror,Mystery",6.2,1182
2432,movie,The Phantom of the Opera,The Phantom of the Opera,1925.0,93.0,Horror,7.5,18380
2528,movie,Wolfblood,Wolfblood,1925.0,68.0,"Adventure,Drama,Horror",5.5,307
2559,movie,The Bells,The Bells,1926.0,68.0,"Crime,Drama,Horror",6.4,441
2636,movie,Faust,Faust: Eine deutsche Volkssage,1926.0,107.0,"Drama,Fantasy,Horror",8.1,15249
2705,movie,A Page of Madness,Kurutta ippêji,1926.0,70.0,"Drama,Horror,Thriller",7.4,3572
2706,movie,The Passion of a Woman Teacher,Kyôren no onna shishô,1926.0,53.0,"Drama,Horror,Romance",6.7,25
2729,movie,The Magician,The Magician,1926.0,83.0,"Drama,Fantasy,Horror",6.7,750
2743,movie,The Bear's Wedding,Medvezhya svadba,1925.0,68.0,"Drama,Horror",6.3,49
2747,movie,Midnight Faces,Midnight Faces,1926.0,55.0,"Horror,Thriller",5.5,124
2844,movie,The Student of Prague,Der Student von Prag,1926.0,110.0,"Drama,Horror",6.9,697
2905,movie,A Daughter of Destiny,Alraune,1928.0,108.0,"Drama,Fantasy,Horror",6.2,368
2941,movie,The Cat and the Canary,The Cat and the Canary,1927.0,108.0,"Comedy,Horror,Mystery",7.1,3009
3024,movie,The Gorilla,The Gorilla,1927.0,80.0,"Horror,Thriller",7.5,33
3070,movie,London After Midnight,London After Midnight,1927.0,69.0,Horror,6.7,1358
3219,movie,The Unknown,The Unknown,1927.0,63.0,"Drama,Horror,Romance",7.8,8050
3236,movie,The Wizard,The Wizard,1927.0,60.0,"Horror,Mystery,Sci-Fi",7.1,117
3265,movie,The Ape,The Ape,1928.0,50.0,"Horror,Mystery",4.5,46
3298,movie,Cagliostro - Liebe und Leben eines großen Abenteurers,Cagliostro - Liebe und Leben eines großen Abenteurers,1929.0,58.0,"Horror,Thriller",6.5,130
3311,movie,The Fall of the House of Usher,La chute de la maison Usher,1928.0,63.0,"Drama,Fantasy,Horror",7.3,4015
3433,movie,The Man Who Laughs,The Man Who Laughs,1928.0,110.0,"Drama,Horror,Mystery",7.7,6974
3552,movie,The Terror,The Terror,1928.0,85.0,"Horror,Mystery,Thriller",7.6,54
3790,movie,The Hound of the Baskervilles,Der Hund von Baskerville,1929.0,65.0,"Crime,Horror,Mystery",6.6,201
3820,movie,The Last Performance,The Last Performance,1929.0,68.0,"Drama,Horror,Romance",6.7,405
3822,movie,The Last Warning,The Last Warning,1928.0,89.0,"Horror,Mystery,Thriller",6.9,649
3965,movie,The Somnambulist,Somnambul,1929.0,,Horror,4.4,18
4080,movie,The Bat Whispers,The Bat Whispers,1930.0,83.0,"Crime,Drama,Horror",6.3,1020
4126,movie,The Cat Creeps,The Cat Creeps,1930.0,75.0,"Horror,Mystery",6.8,81
4618,movie,The Bells,The Bells,1931.0,75.0,"Crime,Drama,Horror",5.7,25
4694,movie,Dracula,Dracula,1931.0,75.0,"Drama,Fantasy,Horror",7.4,51950
4695,movie,Drácula,Drácula,1931.0,104.0,"Drama,Fantasy,Horror",7.1,4595
4700,movie,The Drums of Jeopardy,The Drums of Jeopardy,1931.0,75.0,"Crime,Drama,Horror",5.6,300
4704,movie,East of Borneo,East of Borneo,1931.0,77.0,"Adventure,Horror,Romance",5.5,222
4740,movie,Frankenstein,Frankenstein,1931.0,70.0,"Drama,Horror,Sci-Fi",7.8,71843
4768,movie,The Gorilla,The Gorilla,1930.0,70.0,"Comedy,Horror,Mystery",5.1,45
